삼성전자,54500,100
LG에너지솔루션,488500,500
SK하이닉스,86400,5000
삼성바이오로직스,790000,2500
LG화학,624000,5000
삼성SDI,627000,5000
현대차,193000,5000
삼성전자우,49900,100
NAVER,207500,100
기아,79100,5000
카카오,61300,100
셀트리온,169500,1000
삼성물산,111000,100
KB금융,48900,5000
POSCO홀딩스,236000,5000
현대모비스,208500,5000
신한지주,36000,5000
SK,223000,200
SK이노베이션,174500,5000
포스코케미칼,182500,500
LG전자,85400,5000
한국전력,20250,5000
삼성생명,63400,500
LG,79700,5000
고려아연,608000,5000
KT&G,86200,5000
카카오뱅크,24200,5000
SK텔레콤,51600,100
현대중공업,127000,5000
하나금융지주,38000,5000
두산에너빌리티,17350,5000
LG생활건강,695000,5000
크래프톤,215500,100
S-Oil,90100,2500
한화솔루션,51000,5000
HMM,19850,5000
KT,36350,5000
대한항공,25650,5000
삼성에스디에스,120000,500
삼성화재,193000,500
삼성전기,121500,5000
우리금융지주,11800,5000
LG이노텍,353500,5000
카카오페이,57800,500
엔씨소프트,348000,500
기업은행,9860,5000
SK바이오사이언스,89900,500
아모레퍼시픽,118000,500
현대글로비스,180500,500
CJ제일제당,419000,5000
